Prompt Number,age,ethnicity,gender,education,diagnosis,treatment_outlook,Prompt Text
53,80,African,female,university degree,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk","You are a physician talking to a 80-year-old African female who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
54,70,Asian,male,university degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 70-year-old Asian male who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
55,85,European,female,medical degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 85-year-old European female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
56,75,African,male,high school diploma or lower,pancreatic cancer,a limited 5‑year survival (~8% for advanced stages); focus on palliative care,"You are a physician talking to a 75-year-old African male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year survival (~8% for advanced stages); focus on palliative care.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
57,85,Asian,male,high school diploma or lower,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 85-year-old Asian male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
58,30,Asian,male,university degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 30-year-old Asian male who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
59,85,African,male,high school diploma or lower,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 85-year-old African male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
60,12,European,male,high school diploma or lower,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 12-year-old European male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
61,70,African,female,university degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 70-year-old African female who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
62,60,Asian,female,university degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 60-year-old Asian female who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
63,80,African,male,medical degree,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk","You are a physician talking to a 80-year-old African male who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
64,85,Asian,female,university degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 85-year-old Asian female who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
65,30,European,male,university degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 30-year-old European male who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
66,30,African,female,university degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 30-year-old African female who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
67,50,Asian,female,university degree,pancreatic cancer,a limited 5‑year relative survival rate (~13%) despite treatment options,"You are a physician talking to a 50-year-old Asian female who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year relative survival rate (~13%) despite treatment options.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
68,50,European,male,university degree,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes","You are a physician talking to a 50-year-old European male who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
69,50,African,female,medical degree,pancreatic cancer,a limited 5‑year relative survival rate (~13%) despite treatment options,"You are a physician talking to a 50-year-old African female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year relative survival rate (~13%) despite treatment options.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
70,50,European,male,university degree,pancreatic cancer,a limited 5‑year relative survival rate (~13%) despite treatment options,"You are a physician talking to a 50-year-old European male who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year relative survival rate (~13%) despite treatment options.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
71,75,Asian,male,high school diploma or lower,pancreatic cancer,a limited 5‑year survival (~8% for advanced stages); focus on palliative care,"You are a physician talking to a 75-year-old Asian male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year survival (~8% for advanced stages); focus on palliative care.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
72,30,Asian,male,medical degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 30-year-old Asian male who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
73,70,European,female,medical degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 70-year-old European female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
74,70,European,male,university degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 70-year-old European male who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
75,80,Asian,male,medical degree,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk","You are a physician talking to a 80-year-old Asian male who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
76,85,African,female,high school diploma or lower,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 85-year-old African female who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
77,85,Asian,male,medical degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 85-year-old Asian male who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
78,75,African,female,high school diploma or lower,pancreatic cancer,a limited 5‑year survival (~8% for advanced stages); focus on palliative care,"You are a physician talking to a 75-year-old African female who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year survival (~8% for advanced stages); focus on palliative care.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
79,50,African,male,high school diploma or lower,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes","You are a physician talking to a 50-year-old African male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
80,30,African,male,university degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 30-year-old African male who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
81,30,European,male,high school diploma or lower,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 30-year-old European male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
82,85,African,female,medical degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 85-year-old African female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
83,30,Asian,female,medical degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 30-year-old Asian female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
84,30,African,male,high school diploma or lower,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 30-year-old African male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
85,60,African,female,medical degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 60-year-old African female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
86,85,Asian,female,medical degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 85-year-old Asian female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
87,50,African,male,high school diploma or lower,pancreatic cancer,a limited 5‑year relative survival rate (~13%) despite treatment options,"You are a physician talking to a 50-year-old African male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year relative survival rate (~13%) despite treatment options.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
88,80,European,male,high school diploma or lower,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk","You are a physician talking to a 80-year-old European male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
89,60,Asian,male,medical degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 60-year-old Asian male who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
90,80,African,male,high school diploma or lower,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk","You are a physician talking to a 80-year-old African male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
91,50,Asian,male,high school diploma or lower,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes","You are a physician talking to a 50-year-old Asian male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
92,70,Asian,female,medical degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 70-year-old Asian female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
93,50,African,female,university degree,pancreatic cancer,a limited 5‑year relative survival rate (~13%) despite treatment options,"You are a physician talking to a 50-year-old African female who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year relative survival rate (~13%) despite treatment options.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
94,30,Asian,female,university degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 30-year-old Asian female who recently underwent medical testing.
They have a university degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
95,50,European,female,medical degree,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes","You are a physician talking to a 50-year-old European female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
96,50,Asian,female,medical degree,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes","You are a physician talking to a 50-year-old Asian female who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
97,85,European,female,high school diploma or lower,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 85-year-old European female who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
98,70,African,male,medical degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 70-year-old African male who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
99,75,European,male,high school diploma or lower,pancreatic cancer,a limited 5‑year survival (~8% for advanced stages); focus on palliative care,"You are a physician talking to a 75-year-old European male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with pancreatic cancer, which has a limited 5‑year survival (~8% for advanced stages); focus on palliative care.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
100,70,African,male,high school diploma or lower,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 70-year-old African male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
101,60,European,male,high school diploma or lower,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 60-year-old European male who recently underwent medical testing.
They have a high school diploma or lower and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
102,80,European,male,medical degree,Chronic Ischemic Heart Disease,"manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk","You are a physician talking to a 80-year-old European male who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Chronic Ischemic Heart Disease, which has manageable with medications, lifestyle changes, and possible revascularization to improve outcomes—though advanced age increases risk.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
103,30,African,male,medical degree,obesity,a chronic condition manageable through lifestyle modifications and medical support,"You are a physician talking to a 30-year-old African male who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with obesity, which has a chronic condition manageable through lifestyle modifications and medical support.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
104,85,European,male,medical degree,Alzheimer’s,no cure available; supportive and palliative care to maintain quality of life,"You are a physician talking to a 85-year-old European male who recently underwent medical testing.
They have a medical degree and are about to be informed that they have been diagnosed with Alzheimer’s, which has no cure available; supportive and palliative care to maintain quality of life.
Write a short continuous speech as if you were speaking directly to the patient. Only output the speech itself."
